"DATE","WEEKDAY","HOLIDAY","MONTHYEAR","YEAR","MONTH","DAYMONTH","WEEKEND","AWND","PRCP","PRCP_LVL","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09","BIKE","TAXI","GREEN","TRAFFIC","ACCIDENTS"
"2013-09-12","Thursday",FALSE,"2013-09",2013,"September","09-12",FALSE,16.2,7,"Slight",0,0,23.9,27.8,21.1,270,260,41.7,59.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31252,503526,1321,NA,695
"2013-09-13","Friday",FALSE,"2013-09",2013,"September","09-13",FALSE,19.8,2,"Slight",0,0,22.8,26.7,15,330,320,38.5,50.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36501,523280,1573,NA,652
"2013-09-14","Saturday",FALSE,"2013-09",2013,"September","09-14",TRUE,19.8,0,"None",0,0,16.7,21.1,12.8,330,310,37,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31607,518170,1683,NA,519
"2013-09-15","Sunday",FALSE,"2013-09",2013,"September","09-15",TRUE,14.8,0,"None",0,0,16.1,22.2,10.6,240,220,27.4,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31914,462795,1315,NA,476
"2013-09-16","Monday",FALSE,"2013-09",2013,"September","09-16",FALSE,16.6,1,"Slight",0,0,18.9,23.9,13.9,10,20,33.8,46.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31287,444748,1360,NA,570
"2013-09-17","Tuesday",FALSE,"2013-09",2013,"September","09-17",FALSE,16.9,0,"None",0,0,15,18.9,9.4,20,20,37,48.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38283,468093,1498,NA,627
"2013-09-18","Wednesday",FALSE,"2013-09",2013,"September","09-18",FALSE,12.6,0,"None",0,0,15.6,21.1,10,200,180,24.1,29.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37957,484596,1714,NA,571
"2013-09-19","Thursday",FALSE,"2013-09",2013,"September","09-19",FALSE,16.6,0,"None",0,0,17.8,23.9,12.2,190,190,25.9,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39200,504010,1889,NA,536
"2013-09-20","Friday",FALSE,"2013-09",2013,"September","09-20",FALSE,13.3,0,"None",0,0,18.9,24.4,13.3,170,180,25.9,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39382,523123,2216,NA,631
"2013-09-21","Saturday",FALSE,"2013-09",2013,"September","09-21",TRUE,19.1,8,"Slight",0,0,19.4,23.9,13.9,190,180,45.1,56.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31826,535226,2525,NA,546
